,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,Strawberry Blond,Townie,My Body's Made of Crushed Little Stars,Love Me More,A Loving Feeling,Drunk Walk Home,Me and My Husband,Lonesome Love,Brand New City,Dan the Dancer,The Only Heartbreaker,Everyone,Real Men,Cop Car,Francis Forever,Blue Light,Jobless Monday,That's Our Lamp,Happy,Carry Me Out,Old Friend,Washing Machine Heart,Geyser,Stay Soft,Abbey,A Horse Named Cold Air,Door,Should've Been Me,Why Didn't You Stop Me?,Remember My Name,"Goodbye, My Danish Sweetheart",First Love / Late Spring,Heat Lightning,Fireworks,Nobody,Texas Reznikoff,Come into the Water,I Don't Smoke,Eric,Thursday Girl,A Pearl,"Valentine, Texas",Square,Wife,Humpty,Working for the Knife,There's Nothing Left for You,Circle,I Guess,"Because Dreaming Costs Money, My Dear",I Will,Liquid Smooth - Audiotree Live Version,Liquid Smooth,Bag of Bones,Pink in the Night,Shame,Once More to See You,Crack Baby,A Burning Hill,Last Words of a Shooting Star,I Want You,Pearl Diver,Two Slow Dancers,Your Best American Girl,I Bet on Losing Dogs,Class of 2013,Class of 2013 - Audiotree Live Version,,,,,,,,,,,,
1,Stay Soft,The Only Heartbreaker,Strawberry Blond,Townie,Lonesome Love,Working for the Knife,Nobody,A Loving Feeling,Washing Machine Heart,Brand New City,Blue Light,Me and My Husband,Come into the Water,Cop Car,Old Friend,Francis Forever,Abbey,Shame,Should've Been Me,Happy,Circle,Texas Reznikoff,Geyser,Jobless Monday,Once More to See You,Why Didn't You Stop Me?,Heat Lightning,Remember My Name,Love Me More,Pink in the Night,That's Our Lamp,Fireworks,Drunk Walk Home,I Want You,Your Best American Girl,Pearl Diver,I Bet on Losing Dogs,First Love / Late Spring,Liquid Smooth,"Because Dreaming Costs Money, My Dear","Valentine, Texas",My Body's Made of Crushed Little Stars,Humpty,Real Men,Two Slow Dancers,Carry Me Out,I Don't Smoke,Wife,A Pearl,A Burning Hill,There's Nothing Left for You,Bag of Bones,Last Words of a Shooting Star,I Will,Square (Solo Piano Version),"Goodbye, My Danish Sweetheart",Square,Class of 2013,Class of 2013 - Audiotree Live Version,,,,,,,,,,,,,,,,,,,,
2,Come into the Water,Stay Soft,Blue Light,Love Me More,The Only Heartbreaker,Pink in the Night,Heat Lightning,That's Our Lamp,"Goodbye, My Danish Sweetheart",Should've Been Me,Lonesome Love,Townie,Why Didn't You Stop Me?,Nobody,Remember My Name,Thursday Girl,Jobless Monday,Carry Me Out,Working for the Knife,A Horse Named Cold Air,Shame,Brand New City,Eric,Fireworks,Circle,A Loving Feeling,Francis Forever,"Valentine, Texas",Square,Old Friend,Everyone,A Pearl,Crack Baby,Humpty,Washing Machine Heart,My Body's Made of Crushed Little Stars,Pearl Diver,Abbey,Liquid Smooth,First Love/Late Spring,Wife,Happy,Texas Reznikoff,There's Nothing Left for You,Real Men,Dan the Dancer,Strawberry Blond,Me and My Husband,Bag of Bones,A Burning Hill,Door,I Guess,I Want You,I Don't Smoke,Once More to See You,Drunk Walk Home,Last Words of a Shooting Star,Two Slow Dancers,Class of 2013 - Audiotree Live Version,I Will,Your Best American Girl,"Because Dreaming Costs Money, My Dear",I Bet on Losing Dogs,,,,,,,,,,,,,,,,
3,Funeral,Killer,Moon Song,Scott Street,Me & My Dog,Savior Complex,Steamroller,If We Make It Through December,Punisher,Punisher (Copycat Killer Version),Killer + The Sound,That Funny Feeling,Smoke Signals,Savior Complex (Copycat Killer Version),Kyoto (Copycat Killer Version),Georgia,Graceland Too,Demi Moore,The Gold - Phoebe Bridgers Version,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Georgia Lee,I Know The End,Waiting Room,You Missed My Heart,Sidelines,"Ketchum, ID",Chinese Satellite (Copycat Killer Version),Chelsea,Motion Sickness,Summer's End - Spotify Singles,ICU,Souvenir,Chinese Satellite,Didn't Know What I Was in For,Bite The Hand,Friday I’m In Love - Recorded at Spotify Studios NYC,Garden Song,DVD Menu,Kyoto,Halloween,It'll All Work Out (Bonus Track),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Savior Complex,Killer,Savior Complex (Copycat Killer Version),Funeral,Moon Song,Kyoto - Spotify Singles,Punisher (Copycat Killer Version),I Know The End,Me & My Dog,Waiting Room,Chinese Satellite - Live From Sound City,Kyoto (Copycat Killer Version),You Missed My Heart,Chinese Satellite (Copycat Killer Version),Killer + The Sound,Georgia,Steamroller,Bite The Hand,Killer,Scott Street,Smoke Signals,Souvenir,Punisher,Scott Street - Recorded at Spotify Studios NYC,DVD Menu,Salt In The Wound,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Motion Sickness,The Gold - Phoebe Bridgers Version,ICU,Prayer in Open D,Georgia Lee,Would You Rather,Didn't Know What I Was In For,"Ketchum, ID",It'll All Work Out (Bonus Track),Motion Sickness (Demo - Bonus Track),Demi Moore,Chinese Satellite,Halloween,Graceland Too,Day After Tomorrow,Chelsea,Stay Down,Garden Song,Kyoto,Smoke Signals (Reprise),$20,True Blue,Emily I'm Sorry,Not Strong Enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,If We Make It Through December,Punisher (Copycat Killer Version),Chesapeake,Punisher,I Know The End,Savior Complex (Copycat Killer Version),Savior Complex,Funeral,That Funny Feeling,Waiting Room,Big Black Heart,Smoke Signals,Scott Street,Halloween,Service Road,Me & My Dog,Motion Sickness (Demo - Bonus Track),Exception To The Rule,Chinese Satellite - Live From Sound City,Moon Song,Didn't Know What I Was In For,"Ketchum, ID",Dominos,Georgia,Motion Sickness,It'll All Work Out (Bonus Track),Chinese Satellite (Copycat Killer Version),You Missed My Heart,Kyoto (Copycat Killer Version),Bite The Hand,Killer + The Sound,Demi Moore,Forest Lawn,Kyoto - Spotify Singles,Nothing Else Matters,Killer,Dylan Thomas,Killer,Chelsea,Souvenir,Would You Rather,Sleepwalkin',Graceland Too,My City,Prayer in Open D,7 O'Clock News / Silent Night,Garden Song,Chinese Satellite,Steamroller,Salt In The Wound,Day After Tomorrow,Sidelines,Kyoto,Scott Street - Recorded at Spotify Studios NYC,ICU,Summer's End - Spotify Singles,Stay Down,Georgia,Have Yourself a Merry Little Christmas,7 O'Clock News / Silent Night,Sleepwalkin' - Daydreamin' Version,Friday I’m In Love - Recorded at Spotify Studios NYC,Little Trouble,DVD Menu,Smoke Signals (Reprise),,,,,,,,,,,,,,
6,Smoke Signals,Funeral,Moon Song,If We Make It Through December,Waiting Room,Killer,You Missed My Heart,Killer + The Sound,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Georgia,Halloween,Graceland Too,Scott Street,Stay Down,Emily I'm Sorry,The Gold - Phoebe Bridgers Version,Savior Complex,Day After Tomorrow,Me & My Dog,Chelsea,Punisher,Souvenir,Motion Sickness (Demo - Bonus Track),Service Road,I Know The End,Sidelines,True Blue,Kyoto - Spotify Singles,"Ketchum, ID",Didn't Know What I Was in For,Bite The Hand,$20,Garden Song,Steamroller,Demi Moore,Motion Sickness,Salt In The Wound,It'll All Work Out (Bonus Track),Chinese Satellite,Big Black Heart,Kyoto,Would You Rather,Sleepwalkin',ICU,Dylan Thomas,Chesapeake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Killer + The Sound,That Funny Feeling,Funeral,You Missed My Heart,Punisher (Copycat Killer Version),Killer,Moon Song,The Night We Met,If We Make It Through December,DVD Menu,Garden Song,Punisher,Chelsea,Chinese Satellite,Prayer in Open D,Motion Sickness (Demo - Bonus Track),Have Yourself a Merry Little Christmas,Georgia,The Gold - Phoebe Bridgers Version,Smoke Signals,Demi Moore,Georgia Lee,Day After Tomorrow,It'll All Work Out (Bonus Track),Savior Complex,Chesapeake,Kyoto - Spotify Singles,Summer's End - Spotify Singles,Savior Complex (Copycat Killer Version),Halloween,7 O'Clock News / Silent Night,Daylight (feat. Phoebe Bridgers),Scott Street,"Ketchum, ID",Until We Both Get Bored (feat. Phoebe Bridgers),Didn't Know What I Was In For,Would You Rather,Stay Down,Steamroller,,Nothing Else Matters,Christmas Song,Runaway Horses,Souvenir,Kyoto (Copycat Killer Version),Walking on a String,Emily I'm Sorry,So Much Wine,Dominos,Jesseye' Lisabeth,Miracle of Life,Jesus Christ 2005 God Bless America,Graceland Too,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Goodbye To Love - From 'Minions: The Rise of Gru' Soundtrack,Friday I’m In Love - Recorded at Spotify Studios NYC,Service Road,I Know The End,Salt In The Wound,Bite The Hand,Forest Lawn,True Blue,Me & My Dog,Motion Sickness,Big Black Heart,Sleepwalkin',Not Strong Enough,Chinese Satellite (Copycat Killer Version),ICU,Kyoto,Enough for Now (feat. Phoebe Bridgers),Ghost in the Machine (feat. Phoebe Bridgers),Dylan Thomas,$20,Exception To The Rule,My City,Seize The Day (feat. Phoebe Bridgers),Sidelines,Silk Chiffon
8,Moon Song,Funeral,Me & My Dog,You Missed My Heart,Chinese Satellite,Killer,Scott Street,Savior Complex,Punisher,Day After Tomorrow,Graceland Too,If We Make It Through December,The Gold - Phoebe Bridgers Version,Smoke Signals,Motion Sickness,I Know The End,Halloween,Garden Song,Motion Sickness,Kyoto (Copycat Killer Version),Chinese Satellite (Copycat Killer Version),Punisher (Copycat Killer Version),It'll All Work Out (Bonus Track),Savior Complex (Copycat Killer Version),Georgia,Chelsea,Demi Moore,Have Yourself a Merry Little Christmas,Would You Rather,ICU,Kyoto,That Funny Feeling,Sidelines,Waiting Room,Walking on a String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Funeral,,Chinese Satellite,Killer,Moon Song,Smoke Signals,Scott Street,Demi Moore,Punisher,Savior Complex,Steamroller,Graceland Too,Garden Song,Georgia,I Know The End,You Missed My Heart,Halloween,Chelsea,Would You Rather,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Motion Sickness,Kyoto,ICU,Sidelines,It'll All Work Out (Bonus Track),DVD Menu,Silk Chiffon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
